date,ticker,index
2016-01-01,A,SP500
2016-01-01,AA,SP500
2016-01-01,AAL,SP500
2016-01-01,AAMI,SP600
2016-01-01,AAOI,SP600
2016-01-01,AAON,SP600
2016-01-01,AAP,SP500
2016-01-01,AAPL,SP500
2016-01-01,AAT,SP600
2016-01-01,AAWW,SP600
2016-01-01,ABBV,SP500
2016-01-01,ABCB,SP600
2016-01-01,ABG,SP600
2016-01-01,ABM,SP600
2016-01-01,ABT,SP500
2016-01-01,ABTX,SP600
2016-01-01,ACA,SP600
2016-01-01,ACC,SP400
2016-01-01,ACE,SP500
2016-01-01,ACIW,SP400
2016-01-01,ACLS,SP600
2016-01-01,ACM,SP400
2016-01-01,ACN,SP500
2016-01-01,ACOR,SP600
2016-01-01,ADBE,SP500
2016-01-01,ADC,SP600
2016-01-01,ADEA,SP600
2016-01-01,ADI,SP500
2016-01-01,ADM,SP500
2016-01-01,ADP,SP500
2016-01-01,ADS,SP500
2016-01-01,ADSK,SP500
2016-01-01,ADT,SP500
2016-01-01,ADTN,SP600
2016-01-01,ADUS,SP600
2016-01-01,AEE,SP500
2016-01-01,AEGN,SP600
2016-01-01,AEIS,SP600
2016-01-01,AEL,SP600
2016-01-01,AEO,SP400
2016-01-01,AEP,SP500
2016-01-01,AES,SP500
2016-01-01,AET,SP500
2016-01-01,AFG,SP400
2016-01-01,AFL,SP500
2016-01-01,AGCO,SP400
2016-01-01,AGN,SP500
2016-01-01,AGYS,SP600
2016-01-01,AHL,SP400
2016-01-01,AHRT,SP600
2016-01-01,AIG,SP500
2016-01-01,AIN,SP600
2016-01-01,AIR,SP600
2016-01-01,AIT,SP600
2016-01-01,AIV,SP500
2016-01-01,AIZ,SP500
2016-01-01,AJG,SP400
2016-01-01,AJRD,SP600
2016-01-01,AKAM,SP500
2016-01-01,AKR,SP600
2016-01-01,AKRX,SP600
2016-01-01,ALB,SP400
2016-01-01,ALEX,SP400
2016-01-01,ALG,SP600
2016-01-01,ALGN,SP400
2016-01-01,ALGT,SP600
2016-01-01,ALK,SP400
2016-01-01,ALL,SP500
2016-01-01,ALLE,SP500
2016-01-01,ALRM,SP600
2016-01-01,ALXN,SP500
2016-01-01,AMAG,SP600
2016-01-01,AMAT,SP500
2016-01-01,AMBC,SP600
2016-01-01,AMCX,SP400
2016-01-01,AMD,SP400
2016-01-01,AME,SP500
2016-01-01,AMG,SP500
2016-01-01,AMGN,SP500
2016-01-01,AMN,SP600
2016-01-01,AMP,SP500
2016-01-01,AMPH,SP600
2016-01-01,AMSF,SP600
2016-01-01,AMSG,SP400
2016-01-01,AMT,SP500
2016-01-01,AMWD,SP600
2016-01-01,AMZN,SP500
2016-01-01,AN,SP500
2016-01-01,ANDE,SP600
2016-01-01,ANDV,SP500
2016-01-01,ANF,SP400
2016-01-01,ANGO,SP600
2016-01-01,ANIP,SP600
2016-01-01,ANSS,SP400
2016-01-01,AON,SP500
2016-01-01,AORT,SP600
2016-01-01,AOS,SP400
2016-01-01,APA,SP500
2016-01-01,APC,SP500
2016-01-01,APD,SP500
2016-01-01,APEI,SP600
2016-01-01,APH,SP500
2016-01-01,APOG,SP600
2016-01-01,APTV,SP500
2016-01-01,ARCB,SP600
2016-01-01,ARE,SP400
2016-01-01,ARG,SP500
2016-01-01,ARI,SP600
2016-01-01,ARLO,SP600
2016-01-01,ARNC,SP600
2016-01-01,AROC,SP600
2016-01-01,ARR,SP600
2016-01-01,ARRS,SP400
2016-01-01,ARW,SP400
2016-01-01,ASB,SP400
2016-01-01,ASH,SP400
2016-01-01,ASIX,SP600
2016-01-01,ASNA,SP400
2016-01-01,ASTE,SP600
2016-01-01,ASTH,SP600
2016-01-01,ATGE,SP400
2016-01-01,ATI,SP400
2016-01-01,ATML,SP400
2016-01-01,ATNI,SP600
2016-01-01,ATR,SP400
2016-01-01,ATVI,SP500
2016-01-01,ATW,SP400
2016-01-01,AVA,SP600
2016-01-01,AVAV,SP600
2016-01-01,AVB,SP500
2016-01-01,AVD,SP600
2016-01-01,AVGO,SP500
2016-01-01,AVNS,SP400
2016-01-01,AVNT,SP400
2016-01-01,AVP,SP400
2016-01-01,AVT,SP400
2016-01-01,AVTA,SP600
2016-01-01,AVY,SP500
2016-01-01,AWR,SP600
2016-01-01,AX,SP600
2016-01-01,AXE,SP600
2016-01-01,AXON,SP400
2016-01-01,AXP,SP500
2016-01-01,AYI,SP400
2016-01-01,AZO,SP500
2016-01-01,AZTA,SP400
2016-01-01,AZZ,SP600
2016-01-01,B,SP600
2016-01-01,BA,SP500
2016-01-01,BAC,SP500
2016-01-01,BALL,SP500
2016-01-01,BANC,SP600
2016-01-01,BANR,SP600
2016-01-01,BAX,SP500
