,last_price,adv_usd,n_days,missing,eligible,name,sector,tier
MU,823.030029296875,48134978894.23828,1255,0.0,True,Micron Technology,Information Technology,large
NVDA,200.75,30210329300.0,1255,0.0,True,Nvidia,Information Technology,large
TSLA,311.2099914550781,18791356784.838867,1255,0.0,True,"Tesla, Inc.",Consumer Discretionary,large
AAPL,308.9100036621094,15217929448.745728,1255,0.0,True,Apple Inc.,Information Technology,large
AMD,476.1499938964844,14879701566.864014,1255,0.0,True,Advanced Micro Devices,Information Technology,large
INTC,90.19999694824219,13877183781.619263,1255,0.0,True,Intel,Information Technology,large
MSFT,464.7200012207031,13623462351.513672,1255,0.0,True,Microsoft,Information Technology,large
AMZN,271.5799865722656,10635440000.0,1255,0.0,True,Amazon,Consumer Discretionary,large
GOOGL,356.1300048828125,10241152294.23523,1255,0.0,True,Alphabet Inc. (Class A),Communication Services,large
META,556.7100219726562,10011005110.107422,1255,0.0,True,Meta Platforms,Communication Services,large
AVGO,389.2799987792969,8848950552.523804,1255,0.0,True,Broadcom,Information Technology,large
GOOG,356.6499938964844,6994998928.881836,1255,0.0,True,Alphabet Inc. (Class C),Communication Services,large
MRVL,187.55999755859375,5916831084.649658,1255,0.0,True,Marvell Technology,Information Technology,large
ORCL,129.8699951171875,5045920757.180786,1255,0.0,True,Oracle Corporation,Information Technology,large
PLTR,123.05999755859375,4955044039.694214,1255,0.0,True,Palantir Technologies,Information Technology,large
LITE,713.9400024414062,4473414456.970215,1255,0.0,True,Lumentum,Information Technology,large
AMAT,507.6700134277344,4437343629.107666,1255,0.0,True,Applied Materials,Information Technology,large
WDC,544.8400268554688,4027889232.6293945,1255,0.0,True,Western Digital,Information Technology,large
STX,856.1300048828125,3905925434.4177246,1255,0.0,True,Seagate Technology,Information Technology,large
QCOM,147.61000061035156,3878184068.344116,1255,0.0,True,Qualcomm,Information Technology,large
LRCX,293.0199890136719,3440606063.873291,1255,0.0,True,Lam Research,Information Technology,large
LLY,1148.8399658203125,3173989910.888672,1255,0.0,True,Lilly (Eli),Health Care,large
NFLX,71.70999908447266,3130455836.2060547,1255,0.0,True,Netflix,Communication Services,large
DELL,405.3699951171875,2840465883.911133,1255,0.0,True,Dell Technologies,Information Technology,large
GEV,990.2899780273438,2712366517.590332,588,0.0,True,GE Vernova,Industrials,large
CSCO,115.98999786376953,2673210407.873535,1255,0.0,True,Cisco,Information Technology,large
JPM,351.7900085449219,2668740571.4263916,1255,0.0,True,JPMorgan Chase,Financials,large
CAT,814.8099975585938,2578333622.0581055,1255,0.0,True,Caterpillar Inc.,Industrials,large
V,366.1300048828125,2546592604.5898438,1255,0.0,True,Visa Inc.,Financials,large
APP,395.8999938964844,2517711857.7301025,1255,0.0,True,AppLovin,Information Technology,large
WMT,111.19999694824219,2507729616.1346436,1255,0.0,True,Walmart,Consumer Staples,large
NOW,111.2300033569336,2433893499.5796204,1255,0.0,True,ServiceNow,Information Technology,large
KLAC,182.82000732421875,2407061466.156006,1255,0.0,True,KLA Corporation,Information Technology,large
UNH,414.3999938964844,2402730839.2333984,1255,0.0,True,UnitedHealth Group,Health Care,large
GLW,138.25,2329751387.918091,1255,0.0,True,Corning Inc.,Information Technology,large
TXN,275.739990234375,2325359617.3828125,1255,0.0,True,Texas Instruments,Information Technology,large
XOM,155.44000244140625,2284051275.0,1255,0.0,True,ExxonMobil,Energy,large
BRK-B,511.5400085449219,2259180867.1325684,1255,0.0,True,Berkshire Hathaway,Financials,large
CRM,184.02000427246094,2254345557.7056885,1255,0.0,True,Salesforce,Information Technology,large
GS,1018.3800048828125,2163430012.2680664,1255,0.0,True,Goldman Sachs,Financials,large
HOOD,86.55999755859375,2154721079.425049,1255,0.0,True,Robinhood Markets,Financials,large
IBM,223.64999389648438,2143097634.3597412,1255,0.0,True,IBM,Information Technology,large
